label,line,construct,treatment,id,ari_freq
8.539999962,#8-7_1uM_TA,#8-7,1uM_TA,2,0.134390539
8.819999695,#8-7_1uM_TA,#8-7,1uM_TA,2,0.120951485
9.100000381,#8-7_1uM_TA,#8-7,1uM_TA,2,0.134390539
9.380000114,#8-7_1uM_TA,#8-7,1uM_TA,2,0.100792904
9.659999847,#8-7_1uM_TA,#8-7,1uM_TA,2,0.114231958
9.940000534,#8-7_1uM_TA,#8-7,1uM_TA,2,0.161268647
10.21999931,#8-7_1uM_TA,#8-7,1uM_TA,2,0.107512431
10.5,#8-7_1uM_TA,#8-7,1uM_TA,2,0.08735385
10.78000069,#8-7_1uM_TA,#8-7,1uM_TA,2,0.067195269
11.05999947,#8-7_1uM_TA,#8-7,1uM_TA,2,0.094073377
11.34000015,#8-7_1uM_TA,#8-7,1uM_TA,2,0.047036689
11.61999989,#8-7_1uM_TA,#8-7,1uM_TA,2,0.120951485
11.89999962,#8-7_1uM_TA,#8-7,1uM_TA,2,0.073914796
12.18000031,#8-7_1uM_TA,#8-7,1uM_TA,2,0.060475743
12.46000004,#8-7_1uM_TA,#8-7,1uM_TA,2,0.067195269
12.73999977,#8-7_1uM_TA,#8-7,1uM_TA,2,0.053756216
13.02000046,#8-7_1uM_TA,#8-7,1uM_TA,2,0.053756216
13.29999924,#8-7_1uM_TA,#8-7,1uM_TA,2,0.060475743
13.57999992,#8-7_1uM_TA,#8-7,1uM_TA,2,0.053756216
13.86000061,#8-7_1uM_TA,#8-7,1uM_TA,2,0.047036689
-13.86000061,#8-7_1uM_TA,#8-7,1uM_TA,3,0
-13.57999992,#8-7_1uM_TA,#8-7,1uM_TA,3,0.005074339
-13.29999924,#8-7_1uM_TA,#8-7,1uM_TA,3,0.005074339
-13.02000046,#8-7_1uM_TA,#8-7,1uM_TA,3,0.005074339
-12.73999977,#8-7_1uM_TA,#8-7,1uM_TA,3,0.010148678
-12.46000004,#8-7_1uM_TA,#8-7,1uM_TA,3,0
-12.18000031,#8-7_1uM_TA,#8-7,1uM_TA,3,0.005074339
-11.89999962,#8-7_1uM_TA,#8-7,1uM_TA,3,0.010148678
-11.61999989,#8-7_1uM_TA,#8-7,1uM_TA,3,0.005074339
-11.34000015,#8-7_1uM_TA,#8-7,1uM_TA,3,0.010148678
-11.05999947,#8-7_1uM_TA,#8-7,1uM_TA,3,0.015223017
-10.78000069,#8-7_1uM_TA,#8-7,1uM_TA,3,0.010148678
-10.5,#8-7_1uM_TA,#8-7,1uM_TA,3,0.05581773
-10.21999931,#8-7_1uM_TA,#8-7,1uM_TA,3,0.081189425
-9.940000534,#8-7_1uM_TA,#8-7,1uM_TA,3,0.060892069
-9.659999847,#8-7_1uM_TA,#8-7,1uM_TA,3,0.101486781
-9.380000114,#8-7_1uM_TA,#8-7,1uM_TA,3,0.208047902
-9.100000381,#8-7_1uM_TA,#8-7,1uM_TA,3,0.289237327
-8.819999695,#8-7_1uM_TA,#8-7,1uM_TA,3,0.390724108
-8.539999962,#8-7_1uM_TA,#8-7,1uM_TA,3,0.416095804
-8.260000229,#8-7_1uM_TA,#8-7,1uM_TA,3,0.59877201
-7.980000019,#8-7_1uM_TA,#8-7,1uM_TA,3,0.786522555
-7.699999809,#8-7_1uM_TA,#8-7,1uM_TA,3,0.928604049
-7.420000076,#8-7_1uM_TA,#8-7,1uM_TA,3,0.928604049
-7.140000343,#8-7_1uM_TA,#8-7,1uM_TA,3,1.045313848
-6.859999657,#8-7_1uM_TA,#8-7,1uM_TA,3,1.248287411
-6.579999924,#8-7_1uM_TA,#8-7,1uM_TA,3,1.390368904
-6.300000191,#8-7_1uM_TA,#8-7,1uM_TA,3,1.451260973
-6.019999981,#8-7_1uM_TA,#8-7,1uM_TA,3,1.527376059
-5.739999771,#8-7_1uM_TA,#8-7,1uM_TA,3,1.562896433
-5.460000038,#8-7_1uM_TA,#8-7,1uM_TA,3,1.79631603
-5.180000305,#8-7_1uM_TA,#8-7,1uM_TA,3,1.659308875
-4.900000095,#8-7_1uM_TA,#8-7,1uM_TA,3,1.928248846
-4.619999886,#8-7_1uM_TA,#8-7,1uM_TA,3,1.887654133
-4.340000153,#8-7_1uM_TA,#8-7,1uM_TA,3,2.019586949
-4.059999943,#8-7_1uM_TA,#8-7,1uM_TA,3,1.95869488
-3.78000021,#8-7_1uM_TA,#8-7,1uM_TA,3,2.187040138
-3.5,#8-7_1uM_TA,#8-7,1uM_TA,3,2.313898615
-3.21999979,#8-7_1uM_TA,#8-7,1uM_TA,3,2.455980109
-2.940000057,#8-7_1uM_TA,#8-7,1uM_TA,3,2.552392551
-2.659999847,#8-7_1uM_TA,#8-7,1uM_TA,3,2.8314812
-2.380000114,#8-7_1uM_TA,#8-7,1uM_TA,3,3.496219617
-2.099999905,#8-7_1uM_TA,#8-7,1uM_TA,3,4.115288984
-1.819999933,#8-7_1uM_TA,#8-7,1uM_TA,3,4.643020247
-1.539999962,#8-7_1uM_TA,#8-7,1uM_TA,3,5.607144669
-1.25999999,#8-7_1uM_TA,#8-7,1uM_TA,3,5.835489927
-0.980000019,#8-7_1uM_TA,#8-7,1uM_TA,3,6.124727254
-0.699999988,#8-7_1uM_TA,#8-7,1uM_TA,3,5.596995991
-0.420000017,#8-7_1uM_TA,#8-7,1uM_TA,3,4.861216827
-0.140000001,#8-7_1uM_TA,#8-7,1uM_TA,3,4.059471254
0.140000001,#8-7_1uM_TA,#8-7,1uM_TA,3,3.257725681
0.420000017,#8-7_1uM_TA,#8-7,1uM_TA,3,2.643730654
0.699999988,#8-7_1uM_TA,#8-7,1uM_TA,3,1.984066575
0.980000019,#8-7_1uM_TA,#8-7,1uM_TA,3,1.857208099
1.25999999,#8-7_1uM_TA,#8-7,1uM_TA,3,1.324402497
1.539999962,#8-7_1uM_TA,#8-7,1uM_TA,3,1.187395342
1.819999933,#8-7_1uM_TA,#8-7,1uM_TA,3,0.832191607
2.099999905,#8-7_1uM_TA,#8-7,1uM_TA,3,0.786522555
2.380000114,#8-7_1uM_TA,#8-7,1uM_TA,3,0.65458974
2.659999847,#8-7_1uM_TA,#8-7,1uM_TA,3,0.466839194
2.940000057,#8-7_1uM_TA,#8-7,1uM_TA,3,0.416095804
3.21999979,#8-7_1uM_TA,#8-7,1uM_TA,3,0.38057543
3.5,#8-7_1uM_TA,#8-7,1uM_TA,3,0.299386005
3.78000021,#8-7_1uM_TA,#8-7,1uM_TA,3,0.243568275
4.059999943,#8-7_1uM_TA,#8-7,1uM_TA,3,0.192824885
4.340000153,#8-7_1uM_TA,#8-7,1uM_TA,3,0.172527528
4.619999886,#8-7_1uM_TA,#8-7,1uM_TA,3,0.137007155
4.900000095,#8-7_1uM_TA,#8-7,1uM_TA,3,0.142081494
5.180000305,#8-7_1uM_TA,#8-7,1uM_TA,3,0.177601867
5.460000038,#8-7_1uM_TA,#8-7,1uM_TA,3,0.071040747
5.739999771,#8-7_1uM_TA,#8-7,1uM_TA,3,0.071040747
6.019999981,#8-7_1uM_TA,#8-7,1uM_TA,3,0.101486781
6.300000191,#8-7_1uM_TA,#8-7,1uM_TA,3,0.065966408
6.579999924,#8-7_1uM_TA,#8-7,1uM_TA,3,0.060892069
6.859999657,#8-7_1uM_TA,#8-7,1uM_TA,3,0.111635459
7.140000343,#8-7_1uM_TA,#8-7,1uM_TA,3,0.076115086
7.420000076,#8-7_1uM_TA,#8-7,1uM_TA,3,0.060892069
7.699999809,#8-7_1uM_TA,#8-7,1uM_TA,3,0.05581773
7.980000019,#8-7_1uM_TA,#8-7,1uM_TA,3,0.035520373
8.260000229,#8-7_1uM_TA,#8-7,1uM_TA,3,0.076115086
8.539999962,#8-7_1uM_TA,#8-7,1uM_TA,3,0.030446034
8.819999695,#8-7_1uM_TA,#8-7,1uM_TA,3,0.060892069
9.100000381,#8-7_1uM_TA,#8-7,1uM_TA,3,0.015223017
9.380000114,#8-7_1uM_TA,#8-7,1uM_TA,3,0.035520373
9.659999847,#8-7_1uM_TA,#8-7,1uM_TA,3,0.035520373
9.940000534,#8-7_1uM_TA,#8-7,1uM_TA,3,0.015223017
10.21999931,#8-7_1uM_TA,#8-7,1uM_TA,3,0.050743391
10.5,#8-7_1uM_TA,#8-7,1uM_TA,3,0.040594713
10.78000069,#8-7_1uM_TA,#8-7,1uM_TA,3,0.025371695
11.05999947,#8-7_1uM_TA,#8-7,1uM_TA,3,0.030446034
11.34000015,#8-7_1uM_TA,#8-7,1uM_TA,3,0.030446034
11.61999989,#8-7_1uM_TA,#8-7,1uM_TA,3,0.010148678
11.89999962,#8-7_1uM_TA,#8-7,1uM_TA,3,0.035520373
12.18000031,#8-7_1uM_TA,#8-7,1uM_TA,3,0.025371695
12.46000004,#8-7_1uM_TA,#8-7,1uM_TA,3,0.025371695
12.73999977,#8-7_1uM_TA,#8-7,1uM_TA,3,0.025371695
13.02000046,#8-7_1uM_TA,#8-7,1uM_TA,3,0.015223017
13.29999924,#8-7_1uM_TA,#8-7,1uM_TA,3,0.020297356
13.57999992,#8-7_1uM_TA,#8-7,1uM_TA,3,0.025371695
13.86000061,#8-7_1uM_TA,#8-7,1uM_TA,3,0.010148678
-13.86000061,#8-7_1uM_TA,#8-7,1uM_TA,4,0
-13.57999992,#8-7_1uM_TA,#8-7,1uM_TA,4,0
-13.29999924,#8-7_1uM_TA,#8-7,1uM_TA,4,0
-13.02000046,#8-7_1uM_TA,#8-7,1uM_TA,4,0
-12.73999977,#8-7_1uM_TA,#8-7,1uM_TA,4,0
-12.46000004,#8-7_1uM_TA,#8-7,1uM_TA,4,0.007155635
-12.18000031,#8-7_1uM_TA,#8-7,1uM_TA,4,0.007155635
-11.89999962,#8-7_1uM_TA,#8-7,1uM_TA,4,0.007155635
-11.61999989,#8-7_1uM_TA,#8-7,1uM_TA,4,0.007155635
-11.34000015,#8-7_1uM_TA,#8-7,1uM_TA,4,0.021466905
-11.05999947,#8-7_1uM_TA,#8-7,1uM_TA,4,0.01431127
-10.78000069,#8-7_1uM_TA,#8-7,1uM_TA,4,0.021466905
-10.5,#8-7_1uM_TA,#8-7,1uM_TA,4,0.035778175
-10.21999931,#8-7_1uM_TA,#8-7,1uM_TA,4,0.04293381
